Longitude,Latitude
126.312,7.124
125.796,8.093
125.561,7.851
125.788,7.812
125.608,7.632
126.460,7.648
126.085,7.616
124.584,7.218
124.412,6.858
126.069,8.461
125.999,8.828
126.061,9.016
126.272,8.875
125.835,9.391
125.264,8.641
125.381,8.367
125.240,8.265
124.939,6.452
124.904,6.717
124.900,6.917
124.678,6.866
124.732,7.499
124.427,8.578
123.638,8.406
123.223,7.867
121.941,7.186
122.176,7.812
122.291,7.560
123.030,8.277
121.927,6.581
121.044,6.010
121.497,6.143
121.966,6.174
120.176,5.212
120.708,5.345
120.856,5.697
126.087,9.958
125.438,5.658
125.547,6.002
125.555,6.393
125.704,6.135
125.242,5.775
