longitude,latitude,Ve_est_myr,Vn_est_myr,epsilon_xx,epsilon_yy,epsilon_xy,dilatation,max_shear,second_inv,lambda1,lambda2,principal_az,strain_class
121.6361581,5.6882095,0.02528132,0.00409063,14.71794962,-8.97110546,-18.85733333,5.74684416,22.26862934,31.75368978,25.14205142,-19.39520727,118.93327747,Moderate
121.68814403,5.6882095,0.02536559,0.0041184,19.06798788,-9.12373071,-18.22499495,9.94425717,23.04004536,33.33363925,28.01217394,-18.06791678,116.1401792,Moderate
121.74012995,5.6882095,0.02549966,0.00416405,25.11992168,-9.35620971,-17.27231207,15.76371197,24.40253415,36.26588829,32.28439014,-16.52067817,112.52842873,Moderate
121.79211588,5.6882095,0.02565323,0.00421891,27.55664072,-9.60359165,-16.85574048,17.95304907,25.08658415,37.68062359,34.06310869,-16.11005961,111.10703839,Moderate
121.84410181,5.6882095,0.02581521,0.00427991,28.87076365,-9.84068012,-16.59252614,19.03008353,25.49423255,38.48355267,35.00927432,-15.97919078,110.30227465,Moderate
121.89608774,5.6882095,0.02598382,0.00434663,30.03351822,-10.06168614,-16.33876159,19.97183208,25.8623565,39.20663216,35.84827254,-15.87644046,109.58998769,Moderate
121.94807366,5.6882095,0.02615911,0.0044192,31.21836176,-10.26487111,-16.0699236,20.95349065,26.23846598,39.95545744,36.7152113,-15.76172065,108.88367462,Moderate
122.00005959,5.6882095,0.02634129,0.00449775,32.43856654,-10.44914842,-15.78528431,21.98941812,26.62732101,40.74059036,37.62203007,-15.63261195,108.17879154,Moderate
122.05204552,5.6882095,0.02653055,0.00458239,33.69241035,-10.61379098,-15.48654947,23.07861936,27.02948545,41.56317484,38.56879513,-15.49017576,107.47810522,Moderate
122.10403145,5.6882095,0.02672709,0.00467322,34.97749743,-10.75844358,-15.17573261,24.21905385,27.44534451,42.42375696,39.55487143,-15.33581759,106.78460205,Moderate
122.15601737,5.6882095,0.02693107,0.0047703,36.29157681,-10.88313316,-14.85498604,25.40844364,27.87532826,43.32276948,40.57955008,-15.17110643,106.10107477,Moderate
122.2080033,5.6882095,0.02714265,0.00487367,37.63267781,-10.98825942,-14.5265196,26.64441839,28.3199339,44.26059,41.64214309,-14.9977247,105.43003967,Moderate
122.25998923,5.6882095,0.02736199,0.00498336,38.99923822,-11.07456612,-14.19251211,27.92467209,28.77974757,45.23761042,42.74208362,-14.81741152,104.77366433,Moderate
122.31197515,5.6882095,0.02758922,0.00509935,40.39021724,-11.14309502,-13.85502038,29.24712222,29.25546373,46.25431217,43.87902484,-14.63190261,104.13370932,Moderate
122.36396108,5.6882095,0.02782449,0.00522162,41.8051868,-11.1951257,-13.51589017,30.6100611,29.74790024,47.31134174,45.05293079,-14.44286969,103.5114861,Moderate
122.41594701,5.6882095,0.02806792,0.00535014,43.24439638,-11.23210559,-13.17667298,32.0122908,30.25800766,48.40958,46.26415306,-14.25186226,102.90783192,Moderate
122.46793294,5.6882095,0.02831966,0.00548485,44.70880855,-11.25557437,-12.83855169,33.45323418,30.78687136,49.55020015,47.51348845,-14.06025427,102.32310112,Moderate
122.51991886,5.6882095,0.02857987,0.00562569,46.20010423,-11.26708731,-12.50227671,34.93301692,31.33570565,50.73470935,48.80221411,-13.86919719,101.75717141,Moderate
122.57190479,5.6882095,0.02884869,0.0057726,47.72065826,-11.26814087,-12.16811289,36.45251739,31.90583923,51.96497057,50.13209793,-13.67958054,101.20946246,Moderate
122.62389072,5.6882095,0.0291263,0.0059255,49.27348667,-11.26010331,-11.83579672,38.01338336,32.49869171,53.24320222,51.50538339,-13.49200003,100.67896415,Moderate
122.67587665,5.6882095,0.0294129,0.00608433,50.86216752,-11.24415186,-11.50450182,39.61801566,33.1157408,54.57195397,52.92474863,-13.30673297,100.16427108,Moderate
122.72786257,5.6882095,0.02970871,0.00624903,52.49073704,-11.221217,-11.17281044,41.26952004,33.75847989,55.95405769,54.39323991,-13.12371988,99.66362043,Moderate
122.7798485,5.6882095,0.03001396,0.00641953,54.16356146,-11.19193342,-10.83868826,42.97162804,34.42836535,57.39255256,55.91417937,-12.94255133,99.17493026,Moderate
122.83183443,5.6882095,0.03032892,0.00659579,55.88518429,-11.1565966,-10.49945935,44.7285877,35.12675252,58.89058299,57.49104637,-12.76245868,98.69583568,Moderate
122.88382035,5.6882095,0.03065388,0.00677777,57.66014639,-11.11512328,-10.15177851,46.54502311,35.85481888,60.45126683,59.12733043,-12.58230732,98.22372068,Moderate
122.93580628,5.6882095,0.03098917,0.00696544,59.49277436,-11.06701392,-9.79159819,48.42576044,36.61347191,62.07753046,60.82635213,-12.40059169,97.75574357,Moderate
122.98779221,5.6882095,0.03133511,0.00715879,61.38693016,-11.01131477,-9.41412741,50.37561539,37.40323866,63.77190476,62.59104635,-12.21543096,97.28885422,Moderate
123.03977814,5.6882095,0.03169209,0.00735781,63.34571176,-10.94657735,-9.01378038,52.39913441,38.22413232,65.53627413,64.42369953,-12.02456512,96.81980109,Moderate
123.09176406,5.6882095,0.03206047,0.0075625,65.37109087,-10.87081277,-8.58411267,54.5002781,39.0754905,67.37156724,66.32562955,-11.82535145,96.34512598,Moderate
123.14374999,5.6882095,0.03244063,0.00777288,67.46346942,-10.78143846,-8.11774287,56.68203096,39.95577745,69.27737452,68.29679293,-11.61476197,95.86114372,Moderate
123.19573592,5.6882095,0.03283297,0.00798897,69.62113038,-10.67521462,-7.60625788,58.94591576,40.86234102,71.25147241,70.3352989,-11.38938315,95.36390319,Moderate
123.24772185,5.6882095,0.03323784,0.0082108,71.8395509,-10.5481675,-7.04009989,61.2913834,41.791112,73.28922789,72.4368037,-11.14542031,94.84912469,Moderate
123.29970777,5.6882095,0.03365558,0.00843839,74.11053579,-10.39549648,-6.40843347,63.71503931,42.73623044,75.38284885,74.59375009,-10.87871078,94.31210651,Moderate
123.3516937,5.6882095,0.03408646,0.00867177,76.42111516,-10.21146122,-5.69899113,66.20965393,43.68957911,77.52043461,76.79440607,-10.58475214,93.74759045,Moderate
123.40367963,5.6882095,0.03453065,0.00891093,78.75213172,-9.98924508,-4.89789666,68.76288665,44.64019916,79.68476675,79.02164248,-10.25875583,93.14957075,Moderate
123.45566555,5.6882095,0.03498822,0.00915587,81.07641728,-9.72078995,-3.98946671,71.35562733,45.57355653,81.85176165,81.25137019,-9.89574286,92.51102362,High
