site,location,latitude,longitude,Ve_mm,Vn_mm,V_horiz,epsilon_xx,epsilon_yy,epsilon_xy,dilatation,max_shear,second_inv,lambda1,lambda2,principal_az,strain_class,obs_duration_yr,data_source,interp_method
DVAO,Davao City,7.071865,125.61287,-30.51353,-1.608731,30.555908,-89.334502,4.062142,-24.43918,-85.272361,53.626578,96.939568,10.990398,-96.262759,166.072661,High,8.5859,ML_estimated,Ordinary Kriging
PBIS,Bislig City,8.189172,126.353881,-30.675902,20.573072,36.93592,-45.745785,82.213181,-12.590101,36.467396,65.446041,96.338296,83.679739,-47.212343,174.468824,High,6.9842,ML_estimated,Ordinary Kriging
PCOT,Cotabato City,7.199604,124.247033,-18.727851,-10.899935,21.668894,-165.412147,-13.293759,-81.430509,-178.705906,112.600304,203.350902,23.247351,-201.953257,156.761599,Very High,7.5154,ML_estimated,Ordinary Kriging
PDAV,Davao City,7.12649,125.643405,-33.937772,1.546864,33.973006,-64.120456,17.450455,5.434958,-46.670001,42.416921,68.809895,19.081921,-65.751922,38.475432,Moderate,6.6202,ML_estimated,Ordinary Kriging
PDDN,Tagum City,7.459377,125.78325,-28.942468,1.02855,28.960738,-41.842966,58.161119,49.526329,16.318154,70.441122,100.295456,78.600199,-62.282045,22.378745,High,1.9958,ML_estimated,Ordinary Kriging
PDIP,Dipolog City,8.586842,123.344293,-4.534124,6.392529,7.837264,-75.530098,57.183138,-32.098387,-18.346959,73.797891,105.293945,64.624411,-82.971371,167.069231,High,6.8912,ML_estimated,Ordinary Kriging
PGEN,Gen. Santos City,6.064912,125.131662,-11.247974,-7.754852,13.662161,-415.276202,-46.314015,-150.644643,-461.590217,238.940721,466.037397,8.145613,-465.963013,160.296436,Very High,11.7673,ML_estimated,Ordinary Kriging
PMAI,"Maitum, Sarangani",6.061264,124.495597,82.57636,267.785772,280.228612,-293.31335,-54.185225,-151.51246,-347.274636,196.429912,371.130633,22.617434,-369.861741,155.012381,Very High,0.0165,LR_fallback,Ordinary Kriging
PMRM,"Maramag, Bukidnon",7.856279,125.058743,-17.010083,0.685163,17.023877,-97.097105,71.276715,23.508271,-25.82039,87.47506,125.237763,74.564865,-100.385255,7.815533,High,3.9863,LR_fallback,Ordinary Kriging
PSUR,Surigao City,9.791809,125.493698,-65.772145,95.055829,115.592326,-74.659438,58.61649,-33.016839,-16.042948,75.665556,109.40941,67.644082,-83.68703,166.720517,High,5.3661,ML_estimated,Ordinary Kriging
PTCG,Tacurong City,6.693486,124.676244,-12.843473,-7.989375,15.125637,-258.173724,-81.699624,-209.332182,-339.873348,227.424992,401.584262,57.488318,-397.361666,146.437716,Very High,1.013,LR_fallback,Ordinary Kriging
PTGO,"Tagoloan, Misamis Oriental",8.525923,124.75503,-16.806517,7.329485,18.335222,-100.350739,101.252802,-32.713725,0.902063,106.161605,150.146742,106.612636,-105.710573,171.069651,High,7.6195,ML_estimated,Ordinary Kriging
PZAM,Zamboanga City,6.92865,122.065042,11.777832,-6.731004,13.565535,-5.297585,0.172106,-47.334398,-5.125479,47.549144,67.445881,44.986405,-50.111884,136.68582,Moderate,7.562,ML_estimated,Ordinary Kriging
