site,decimal_year,mjd,week,east,north,sig_e,sig_n,corr_en,latitude,longitude,height
DVAO,2015.3676,57157,1844,0.885038,0.147227,0.000888,0.000769,-0.078897,7.0718653647,125.612870273,99.98542
DVAO,2015.5537,57225,1854,0.879199,0.148954,0.000975,0.000821,-0.050645,7.0718653804,125.6128702202,99.95571
DVAO,2015.5784,57234,1855,0.878102,0.151485,0.000849,0.000757,-0.081728,7.0718654032,125.61287021019999,99.9614
DVAO,2016.0411,57403,1879,0.86719,0.144569,0.000799,0.000714,-0.034633,7.0718653407,125.6128701115,99.95622
DVAO,2016.0438,57404,1880,0.866734,0.143623,0.000797,0.000708,-0.031813,7.0718653321,125.6128701074,99.95258
DVAO,2016.0465,57405,1880,0.866446,0.142739,0.000804,0.000709,-0.01893,7.0718653242,125.6128701047,99.94592
DVAO,2016.0493,57406,1880,0.865385,0.142247,0.000817,0.00073,-0.017511,7.0718653197,125.61287009509999,99.95403
DVAO,2016.052,57407,1880,0.866867,0.143947,0.000872,0.000765,-0.033437,7.0718653351,125.61287010859999,99.95379
DVAO,2016.0548,57408,1880,0.865835,0.144484,0.000841,0.000739,-0.089551,7.0718653399,125.6128700992,99.95374
DVAO,2016.0575,57409,1880,0.866687,0.142487,0.000805,0.000698,-0.059711,7.0718653219,125.6128701069,99.95327
DVAO,2016.0602,57410,1880,0.863888,0.143531,0.000834,0.000752,-0.075546,7.0718653313,125.6128700816,99.95794
DVAO,2016.063,57411,1881,0.864091,0.142596,0.000797,0.000712,-0.008267,7.0718653229,125.6128700834,99.95199
DVAO,2016.0657,57412,1881,0.863854,0.141484,0.00093,0.000805,-0.038472,7.0718653128,125.6128700813,99.94862
DVAO,2016.0684,57413,1881,0.86496,0.142043,0.000892,0.000774,-0.101183,7.0718653179,125.61287009130001,99.95341
DVAO,2016.0712,57414,1881,0.864185,0.140733,0.000857,0.000741,-0.013798,7.071865306,125.6128700843,99.9502
DVAO,2016.0739,57415,1881,0.866417,0.142454,0.000823,0.000724,-0.078747,7.0718653216,125.61287010449999,99.94881
DVAO,2016.0767,57416,1881,0.868147,0.141365,0.000851,0.000759,-0.004165,7.0718653117,125.61287012010001,99.95758
DVAO,2016.0794,57417,1881,0.866206,0.142416,0.000851,0.000768,-0.029677,7.0718653212,125.6128701026,99.95714
DVAO,2016.0821,57418,1882,0.866067,0.14053,0.000874,0.000771,-0.043048,7.0718653042,125.61287010129999,99.9515
DVAO,2016.0849,57419,1882,0.865366,0.141921,0.000835,0.000728,-0.054228,7.0718653168,125.612870095,99.94768
DVAO,2016.0876,57420,1882,0.866825,0.141873,0.000836,0.000732,-0.044766,7.0718653163,125.61287010820001,99.95409
DVAO,2016.0903,57421,1882,0.866076,0.140921,0.000815,0.00073,-0.026634,7.0718653077,125.6128701014,99.95193
DVAO,2016.0931,57422,1882,0.867267,0.140735,0.000807,0.000718,-0.046585,7.071865306,125.6128701122,99.95568
DVAO,2016.0958,57423,1882,0.865919,0.1417,0.000803,0.000705,-0.020038,7.0718653148,125.61287010000001,99.95424
DVAO,2016.0986,57424,1882,0.865589,0.140795,0.000853,0.000769,-0.054117,7.0718653066,125.61287009700001,99.94489
DVAO,2016.1013,57425,1883,0.867617,0.142826,0.000883,0.000793,-0.042192,7.0718653249,125.61287011530001,99.95515
DVAO,2016.104,57426,1883,0.866581,0.142528,0.000837,0.000728,-0.04208,7.0718653223,125.612870106,99.95466
DVAO,2016.1068,57427,1883,0.864329,0.143785,0.000882,0.000752,-0.0286,7.0718653336,125.61287008560001,99.95784
DVAO,2016.1095,57428,1883,0.865834,0.141978,0.000824,0.00073,-0.057512,7.0718653173,125.6128700992,99.95684
DVAO,2016.1123,57429,1883,0.866085,0.142414,0.000818,0.000718,-0.053716,7.0718653212,125.6128701015,99.95652
DVAO,2016.115,57430,1883,0.865955,0.143481,0.000835,0.000728,-0.062777,7.0718653309,125.6128701003,99.95559
DVAO,2016.1177,57431,1883,0.866361,0.142635,0.000833,0.000739,-0.063327,7.0718653232,125.612870104,99.95959
DVAO,2016.1205,57432,1884,0.867291,0.140537,0.000809,0.00071,-0.022745,7.0718653042,125.6128701124,99.95107
DVAO,2016.1232,57433,1884,0.86582,0.142361,0.00084,0.000744,-0.021374,7.0718653207,125.61287009910001,99.95423
DVAO,2016.1259,57434,1884,0.863457,0.143082,0.00093,0.000813,0.003346,7.0718653273,125.6128700777,99.95287
DVAO,2016.1287,57435,1884,0.865042,0.141265,0.000959,0.000812,-0.078271,7.0718653108,125.61287009200001,99.95273
DVAO,2016.1314,57436,1884,0.865941,0.141102,0.000843,0.000744,-0.02084,7.0718653094,125.61287010020001,99.9512
DVAO,2016.1342,57437,1884,0.865728,0.140967,0.000924,0.000799,-0.031874,7.0718653081,125.6128700982,99.95456
DVAO,2016.1369,57438,1884,0.863402,0.141093,0.000849,0.00074,-0.011281,7.0718653093,125.6128700772,99.95531
DVAO,2016.1396,57439,1885,0.863803,0.141059,0.000881,0.000773,-0.020149,7.071865309,125.61287008080001,99.95125
DVAO,2016.1424,57440,1885,0.862352,0.141659,0.000848,0.000754,-0.047582,7.0718653144,125.61287006769999,99.95097
DVAO,2016.1451,57441,1885,0.862706,0.144336,0.000892,0.000759,-0.045307,7.0718653386,125.61287007089999,99.95661
DVAO,2016.1478,57442,1885,0.864288,0.143889,0.000922,0.000805,-0.042965,7.0718653346,125.6128700852,99.95486
DVAO,2016.1506,57443,1885,0.863141,0.144976,0.000829,0.000731,-0.049992,7.0718653444,125.61287007480001,99.95278
DVAO,2016.1533,57444,1885,0.862584,0.142688,0.000867,0.000779,-0.026345,7.0718653237,125.61287006980001,99.95222
DVAO,2016.1561,57445,1885,0.86411,0.143016,0.000875,0.000753,-0.035106,7.0718653267,125.6128700836,99.95591
DVAO,2016.1588,57446,1886,0.863083,0.141629,0.000883,0.000796,0.00194,7.0718653141,125.61287007429999,99.94863
DVAO,2016.1615,57447,1886,0.864847,0.142602,0.000813,0.000722,0.00169,7.0718653229,125.61287009029999,99.95282
DVAO,2016.1643,57448,1886,0.864876,0.142614,0.000863,0.000741,-0.030501,7.071865323,125.6128700905,99.95349
DVAO,2016.167,57449,1886,0.864534,0.142977,0.000832,0.000731,-0.019547,7.0718653263,125.61287008740001,99.95209
DVAO,2016.1697,57450,1886,0.859656,0.146983,0.000901,0.000759,-0.051794,7.0718653625,125.6128700433,99.96422
DVAO,2016.1725,57451,1886,0.863784,0.141507,0.000948,0.000807,-0.07393,7.071865313,125.6128700806,99.94999
DVAO,2016.1752,57452,1886,0.866132,0.14507,0.000966,0.000799,-0.031939,7.0718653452,125.6128701019,99.94828
DVAO,2016.178,57453,1887,0.861903,0.143501,0.000913,0.000776,-0.085676,7.071865331,125.61287006360001,99.95066
DVAO,2016.1807,57454,1887,0.862092,0.143523,0.00084,0.000753,-0.07105,7.0718653313,125.6128700653,99.9535
DVAO,2016.1834,57455,1887,0.864095,0.142542,0.000857,0.000769,-0.069605,7.0718653224,125.61287008350001,99.95984
DVAO,2016.1862,57456,1887,0.863489,0.14388,0.000908,0.000751,0.004576,7.0718653345,125.61287007799999,99.9538
DVAO,2016.1889,57457,1887,0.866091,0.14185,0.00095,0.000819,-0.06327,7.0718653161,125.6128701015,99.95123
DVAO,2016.1916,57458,1887,0.861795,0.140173,0.000881,0.000773,-0.060837,7.071865301,125.6128700626,99.94623
DVAO,2016.1944,57459,1887,0.861471,0.143241,0.000838,0.000714,-0.014373,7.0718653287,125.61287005969999,99.94861
DVAO,2016.1971,57460,1888,0.862336,0.144627,0.000881,0.000744,-0.05268,7.0718653412,125.61287006750001,99.95476
DVAO,2016.1999,57461,1888,0.863578,0.141839,0.000901,0.000762,-0.087187,7.071865316,125.6128700788,99.95444
DVAO,2016.2026,57462,1888,0.862275,0.143298,0.000835,0.000728,-0.04262,7.0718653292,125.61287006699999,99.9571
DVAO,2016.2053,57463,1888,0.860879,0.141828,0.000889,0.000774,-0.021194,7.0718653159,125.61287005439999,99.96156
DVAO,2016.2081,57464,1888,0.860133,0.140236,0.000873,0.000762,0.000349,7.0718653015,125.61287004760001,99.95366
DVAO,2016.2108,57465,1888,0.857888,0.142723,0.000896,0.000765,-0.014198,7.071865324,125.6128700273,99.94941
DVAO,2016.2136,57466,1888,0.862922,0.142413,0.000863,0.000767,-0.011965,7.0718653212,125.6128700728,99.95244
DVAO,2016.2163,57467,1889,0.860824,0.144477,0.000926,0.000806,-0.01409,7.0718653399,125.6128700539,99.95287
DVAO,2016.219,57468,1889,0.861468,0.142296,0.000904,0.000752,-0.008442,7.0718653202,125.61287005969999,99.96063
DVAO,2016.2218,57469,1889,0.861829,0.14106,0.000795,0.000691,-0.003407,7.071865309,125.612870063,99.96383
DVAO,2016.2245,57470,1889,0.863093,0.144108,0.00089,0.000778,-0.040564,7.0718653365,125.6128700744,99.95806
DVAO,2016.2272,57471,1889,0.86258,0.141958,0.000866,0.000736,0.002419,7.0718653171,125.6128700697,99.95776
DVAO,2016.23,57472,1889,0.860344,0.13836,0.000905,0.000762,-0.004685,7.0718652846,125.6128700495,99.95453
DVAO,2016.2327,57473,1889,0.861575,0.140877,0.000904,0.000745,-0.028014,7.0718653073,125.6128700607,99.94765
DVAO,2016.2355,57474,1890,0.862231,0.140659,0.000783,0.000689,-0.000963,7.0718653054,125.61287006660001,99.95509
DVAO,2016.2382,57475,1890,0.862837,0.138879,0.000799,0.000695,-0.026082,7.0718652893,125.61287007210001,99.95304
DVAO,2016.2409,57476,1890,0.860608,0.140221,0.000861,0.000748,-0.012388,7.0718653014,125.61287005189999,99.9557
DVAO,2016.2437,57477,1890,0.858874,0.139599,0.000887,0.00076,-0.03121,7.0718652958,125.61287003620001,99.9636
DVAO,2016.2464,57478,1890,0.859417,0.140173,0.000897,0.000764,-0.006824,7.071865301,125.6128700411,99.96048
DVAO,2016.2491,57479,1890,0.861603,0.139355,0.000856,0.000746,-0.003927,7.0718652936,125.61287006090001,99.95797
DVAO,2016.2519,57480,1890,0.859649,0.139961,0.000802,0.000699,-0.013403,7.071865299,125.61287004319999,99.95809
