site,first_latitude,first_longitude,start_year,end_year,observation_duration_years,horizontal_velocity_magnitude_m_yr
DVAO,7.0718653207,125.61287009910001,2016.1232,2024.7091,8.585900000000038,0.030555907846543932
PBIS,8.189172177,126.3538808289,2017.7194,2024.7036,6.984200000000101,0.03693592048484344
PCOT,7.199603886,124.2470328531,2017.1882,2024.7036,7.5154,0.021668894326900234
PDAV,7.1264899737,125.64340469999999,2015.091,2021.7112,6.620200000000068,0.03397300642129637
PDDN,7.4593769396,125.7832500994,2021.7112,2023.707,1.9958000000001448,0.02896073841883217
PDIP,8.5868416662,123.3442928405,2015.8193,2022.7105,6.891199999999799,0.007837264158015406
PGEN,6.064912456,125.1316620412,2014.3573,2026.1246,11.767300000000205,0.013662160792263298
PSUR,9.7918092175,125.4936976596,2014.3546,2019.7207,5.366100000000188,0.11559232581404479
PTGO,8.5259229729,124.7550297363,2015.091,2022.7105,7.619500000000016,0.018335222260613862
PZAM,6.9286498475,122.06504176019999,2015.1485,2022.7105,7.561999999999898,0.01356553467789801
PMAI,6.0612637405,124.4955971443,2022.694,2022.7105,0.016499999999950887,0.2802286121846029
PTCG,6.6934856975,124.67624449229999,2022.694,2023.707,1.0130000000001473,0.015125637488749967
PMRM,7.8562786611,125.0587430868,2019.7207,2023.707,3.9863000000000284,0.017023876743014917
