longitude,latitude,Ve_kriging_myr,Vn_kriging_myr,Ve_kriging_mm,Vn_kriging_mm,V_horiz_mm,interp_method
125.7985275,8.92023413,-0.03957703,0.022166,-39.5770273,22.16600467,45.36157904,Ordinary Kriging
125.32368178,7.52179755,-0.02486337,0.00518284,-24.86336994,5.18283543,25.39781384,Ordinary Kriging
124.43842568,6.38336022,0.021174,0.00990412,21.17400284,9.90412489,23.37584407,Ordinary Kriging
123.89367022,10.25057509,-0.03319852,0.02219077,-33.19851588,22.19076574,39.93208661,Ordinary Kriging
125.23490351,6.36576906,-0.01243417,0.00595135,-12.43417418,5.95135385,13.785039,Ordinary Kriging
125.61752537,8.62599029,-0.03308916,0.01777297,-33.08916479,17.77296514,37.56023318,Ordinary Kriging
123.29685018,8.34533181,-0.0044883,0.00716739,-4.48829557,7.16738667,8.45672684,Ordinary Kriging
123.7103419,10.43479802,-0.03257055,0.02199641,-32.57055492,21.99641061,39.30245702,Ordinary Kriging
126.16260482,7.83581657,-0.03058819,0.01228005,-30.58818672,12.28005135,32.96114118,Ordinary Kriging
122.93667318,10.44192999,-0.02482487,0.01849385,-24.82486559,18.49385093,30.95636403,Ordinary Kriging
125.98953902,7.18947368,-0.03053263,0.0068206,-30.53263186,6.82059749,31.28517474,Ordinary Kriging
122.23943086,7.31596161,0.00859945,0.0027839,8.59945247,2.78389955,9.03884282,Ordinary Kriging
124.52619541,7.44118525,-0.01761178,0.00318682,-17.61177941,3.1868195,17.89778178,Ordinary Kriging
125.74299292,8.3255322,-0.03052701,0.01484924,-30.52700855,14.84924269,33.94699191,Ordinary Kriging
124.93525358,8.3948943,-0.02053594,0.0112769,-20.53593949,11.27690045,23.42847188,Ordinary Kriging
126.29109905,7.39543505,-0.03079368,0.00985412,-30.79367578,9.85412282,32.33193784,Ordinary Kriging
122.74458013,7.5287489,0.00495776,0.00384313,4.9577621,3.84313251,6.27288391,Ordinary Kriging
122.8202813,9.95731346,-0.01924625,0.01577052,-19.24624516,15.77052074,24.88226833,Ordinary Kriging
125.10388239,8.02274364,-0.02030021,0.00805195,-20.30020543,8.05194762,21.83877746,Ordinary Kriging
125.11874395,7.49290175,-0.02240431,0.00445551,-22.40430599,4.45550779,22.84304,Ordinary Kriging
125.31718633,7.18924397,-0.02592499,0.00393524,-25.92498767,3.93523617,26.22195777,Ordinary Kriging
123.3623316,8.09086315,-0.004002,0.00598317,-4.00200194,5.9831711,7.19821895,Ordinary Kriging
124.90775208,6.16813264,0.00795442,0.00899952,7.95442298,8.99952123,12.01100442,Ordinary Kriging
122.64839376,9.91996723,-0.0175971,0.01503266,-17.59709938,15.03265961,23.14387093,Ordinary Kriging
123.825813,7.81862281,-0.00856462,0.00487147,-8.56462449,4.87147316,9.85312354,Ordinary Kriging
122.89693107,10.3188907,-0.02338669,0.01779723,-23.38668907,17.79722588,29.38840715,Ordinary Kriging
125.70282108,8.99990123,-0.04039966,0.0228655,-40.39965657,22.86549936,46.42158239,Ordinary Kriging
125.02904893,7.43819845,-0.02165965,0.00404674,-21.65964896,4.0467351,22.034438,Ordinary Kriging
124.06274308,6.96945601,-0.00250889,0.00397505,-2.50889201,3.97504539,4.70058772,Ordinary Kriging
123.04513952,9.2620929,-0.01291855,0.01245837,-12.91854967,12.4583729,17.94714409,Ordinary Kriging
125.85295841,9.1423241,-0.04402922,0.02501244,-44.02921522,25.01244483,50.63787308,Ordinary Kriging
123.93563429,8.23138664,-0.01106407,0.00734438,-11.06407148,7.34437549,13.2798166,Ordinary Kriging
122.65524911,9.64875183,-0.01482507,0.01364441,-14.82507149,13.64440701,20.14826512,Ordinary Kriging
124.2281689,7.58777605,-0.01431051,0.00361539,-14.31050741,3.61538764,14.76013719,Ordinary Kriging
126.12300993,6.90813335,-0.02873551,0.00718372,-28.73550589,7.18372363,29.61984443,Ordinary Kriging
125.16788858,6.58818854,-0.01529414,0.0050761,-15.29414268,5.07610053,16.1145151,Ordinary Kriging
122.74364946,9.62006803,-0.01509481,0.01373365,-15.09481189,13.73364768,20.40750903,Ordinary Kriging
125.08842034,6.29366191,-0.00607126,0.00677218,-6.07126184,6.77218029,9.09519908,Ordinary Kriging
125.50736661,8.04192151,-0.02615186,0.01037818,-26.15185691,10.37818238,28.13585416,Ordinary Kriging
124.44008531,6.55156163,0.00911513,0.00741663,9.1151265,7.41662826,11.75125124,Ordinary Kriging
124.1933542,7.94923158,-0.01330642,0.00567163,-13.3064204,5.67163205,14.46472377,Ordinary Kriging
125.78647708,8.30724159,-0.03071137,0.01487999,-30.71137232,14.87999012,34.1262728,Ordinary Kriging
125.10229983,6.55975477,-0.01298726,0.00531187,-12.98726105,5.31187292,14.03156953,Ordinary Kriging
125.63009559,9.01177873,-0.04005427,0.02277026,-40.05426849,22.77026136,46.07417092,Ordinary Kriging
122.6272552,7.74513982,0.00346101,0.00430107,3.46101393,4.30106755,5.5206702,Ordinary Kriging
126.15289857,6.45205638,-0.02330188,0.00745589,-23.30187737,7.45588746,24.46564421,Ordinary Kriging
126.42228465,8.04446876,-0.03193365,0.0156515,-31.93364726,15.65150316,35.56300576,Ordinary Kriging
122.42386739,7.86893637,0.00317837,0.00457388,3.17836797,4.57388381,5.56977881,Ordinary Kriging
123.4649848,10.23209657,-0.02799697,0.01981481,-27.99696807,19.81480789,34.29951651,Ordinary Kriging
122.86588189,7.57639239,0.00381652,0.00405129,3.81652013,4.05128622,5.56585537,Ordinary Kriging
124.18725865,8.30098067,-0.01383562,0.00826115,-13.83562254,8.26115053,16.11431225,Ordinary Kriging
124.45421418,7.1408812,-0.01515033,0.00277973,-15.15033478,2.77973263,15.40323205,Ordinary Kriging
124.21386014,7.07538669,-0.01009449,0.00296839,-10.09448725,2.96839208,10.52188312,Ordinary Kriging
124.6793622,6.59913803,-0.00285041,0.00584267,-2.85041253,5.84267292,6.50089828,Ordinary Kriging
123.19627599,8.28690368,-0.00352401,0.00677554,-3.52401182,6.77554098,7.63718632,Ordinary Kriging
124.40639177,7.48405326,-0.0166113,0.00319883,-16.61130031,3.19883072,16.91649538,Ordinary Kriging
124.6574622,6.94767061,-0.01420489,0.00348371,-14.20489286,3.48371158,14.62584109,Ordinary Kriging
126.10560009,8.17943245,-0.03139745,0.01530016,-31.39745188,15.30016397,34.92699532,Ordinary Kriging
123.01140193,8.37200599,-0.00305191,0.00704119,-3.051908,7.04119286,7.67414746,Ordinary Kriging
123.12162823,7.31913159,0.00496589,0.00390966,4.96589444,3.90966011,6.32024918,Ordinary Kriging
123.60803666,8.32799771,-0.00765058,0.00750061,-7.65057505,7.50060992,10.71403042,Ordinary Kriging
125.40141442,8.80355356,-0.03359748,0.01897091,-33.59747974,18.97090656,38.58349311,Ordinary Kriging
125.07571198,8.79765143,-0.02877916,0.01703989,-28.77916466,17.03989112,33.44545123,Ordinary Kriging
125.92215767,8.03759547,-0.02987872,0.01276192,-29.87871903,12.76192313,32.49006822,Ordinary Kriging
123.86665214,7.38322154,-0.00684583,0.00349568,-6.84582876,3.49567997,7.68668653,Ordinary Kriging
124.54591631,6.83455338,-0.00880305,0.00415115,-8.80305193,4.1511458,9.73271466,Ordinary Kriging
124.60807548,6.36733998,0.0161531,0.00951618,16.15309597,9.51618221,18.74780609,Ordinary Kriging
124.86369916,7.61086357,-0.01929893,0.00440223,-19.29892921,4.40223465,19.79465429,Ordinary Kriging
123.45136582,7.76029539,-0.00316591,0.00471555,-3.16591495,4.7155479,5.67973674,Ordinary Kriging
125.41587853,8.98972816,-0.03741245,0.0215453,-37.41244803,21.54529601,43.17280449,Ordinary Kriging
122.96800427,8.18531113,-0.0016207,0.00613493,-1.62070211,6.13493475,6.34539989,Ordinary Kriging
124.48844953,8.17478974,-0.01572873,0.00774248,-15.72872636,7.7424784,17.5310811,Ordinary Kriging
125.37839835,7.39670585,-0.02631086,0.00471364,-26.31086005,4.71363537,26.72975337,Ordinary Kriging
123.16342352,7.09499283,0.00805582,0.00401605,8.05581771,4.01604853,9.00138016,Ordinary Kriging
124.4896728,7.79447956,-0.01621836,0.0049055,-16.21836282,4.90549803,16.94400199,Ordinary Kriging
125.14676358,8.21317315,-0.02216241,0.01030022,-22.16240991,10.30022028,24.43904562,Ordinary Kriging
124.93913356,6.76293607,-0.01485972,0.00431222,-14.85972101,4.31221837,15.47276756,Ordinary Kriging
125.30087465,7.42032859,-0.02514066,0.00461704,-25.1406643,4.61704387,25.56110513,Ordinary Kriging
123.75457359,7.23039903,-0.00226643,0.0037239,-2.26642739,3.72390403,4.35937546,Ordinary Kriging
124.09208705,6.76975566,0.00513345,0.00545578,5.13344576,5.45578262,7.49118344,Ordinary Kriging
122.55337031,7.28339595,0.00830872,0.0031703,8.30872227,3.17030096,8.89301264,Ordinary Kriging
125.43469605,9.3396548,-0.04534507,0.02648211,-45.34506546,26.48210568,52.5116833,Ordinary Kriging
122.88583338,7.61951776,0.00327039,0.00416184,3.27038742,4.16184199,5.29304852,Ordinary Kriging
123.11037527,7.71455968,0.0007462,0.00452231,0.74620296,4.52231276,4.58346284,Ordinary Kriging
124.71701366,7.00882858,-0.01621172,0.0033219,-16.2117163,3.32190256,16.5485583,Ordinary Kriging
123.65638904,6.62900791,0.01566491,0.00617533,15.6649093,6.17533027,16.83817352,Ordinary Kriging
125.19006471,7.54169367,-0.02298371,0.00487044,-22.98370688,4.8704385,23.49408337,Ordinary Kriging
123.73687326,6.87721592,0.00688492,0.00487768,6.88491698,4.87767925,8.43764402,Ordinary Kriging
125.75943658,8.17681108,-0.02945805,0.01328278,-29.4580476,13.28278457,32.31422186,Ordinary Kriging
124.9636607,8.27769017,-0.0201339,0.01014148,-20.13390006,10.14147654,22.54381241,Ordinary Kriging
125.70660415,8.68373955,-0.03482276,0.01890226,-34.82275691,18.90226132,39.62221449,Ordinary Kriging
125.90091251,8.65439755,-0.03583548,0.01936918,-35.83548164,19.36917998,40.73508165,Ordinary Kriging
123.0925252,8.40931802,-0.00364159,0.0072993,-3.64158782,7.2992997,8.1572629,Ordinary Kriging
125.67420771,8.0167092,-0.02791046,0.01106706,-27.91045726,11.06706073,30.02454758,Ordinary Kriging
123.94820392,7.41482345,-0.00890774,0.00337242,-8.90774481,3.3724224,9.52476511,Ordinary Kriging
125.13699491,8.22905115,-0.02214794,0.01042855,-22.14794374,10.42855487,24.48032207,Ordinary Kriging
122.65066246,8.10391014,0.00042013,0.0055895,0.42012995,5.58949988,5.60526699,Ordinary Kriging
124.23060447,7.43764038,-0.01467466,0.00296182,-14.67465943,2.96181679,14.97057074,Ordinary Kriging
125.52291867,7.83654391,-0.02605929,0.00841933,-26.0592945,8.41933365,27.38561683,Ordinary Kriging
126.07393284,7.40708599,-0.03052392,0.00838138,-30.523921,8.38138262,31.65370954,Ordinary Kriging
126.312,7.124,-0.03000964,0.00882155,-30.00963565,8.8215541,31.27935499,Ordinary Kriging
125.796,8.093,-0.02927245,0.01259001,-29.2724462,12.59000777,31.86509693,Ordinary Kriging
125.561,7.851,-0.02649182,0.00875941,-26.49182435,8.75940615,27.9024005,Ordinary Kriging
125.788,7.812,-0.02861536,0.00967331,-28.61536259,9.67331122,30.20615709,Ordinary Kriging
125.608,7.632,-0.02751682,0.00705241,-27.51682231,7.05241407,28.40619746,Ordinary Kriging
126.46,7.648,-0.03150244,0.0125336,-31.50243771,12.53359688,33.90419786,Ordinary Kriging
126.085,7.616,-0.0303416,0.00988423,-30.34160263,9.88422537,31.91098183,Ordinary Kriging
124.584,7.218,-0.01726683,0.00290033,-17.26683319,2.90032773,17.50872438,Ordinary Kriging
124.412,6.858,-0.00605851,0.00425425,-6.05850574,4.25424686,7.40297968,Ordinary Kriging
126.069,8.461,-0.03409777,0.01796618,-34.09777451,17.96618296,38.54143169,Ordinary Kriging
125.999,8.828,-0.0391359,0.02166573,-39.13590322,21.66573217,44.73279414,Ordinary Kriging
126.061,9.016,-0.04253544,0.02387349,-42.53543997,23.87348731,48.77711605,Ordinary Kriging
126.272,8.875,-0.04095402,0.0227485,-40.95401823,22.74849888,46.84790082,Ordinary Kriging
125.835,9.391,-0.04875727,0.02796866,-48.75727188,27.96865687,56.20958395,Ordinary Kriging
125.264,8.641,-0.02890582,0.01609195,-28.90582017,16.09195,33.08318749,Ordinary Kriging
