point_id,site,location,longitude,latitude,Ve_kriging_mm,Vn_kriging_mm,V_horiz_mm,interp_method,epsilon_xx,epsilon_yy,epsilon_xy,dilatation,max_shear,second_inv,lambda1,lambda2,principal_az,strain_class
1,,,125.7985275,8.92023413,-39.5770273,22.16600467,45.36157904,Ordinary Kriging,-158.241333,-380.41760878,325.43970215,-500.0,343.87726607,500.0,74.54779517,-500.0,54.42361393,Very High
2,,,125.32368178,7.52179755,-24.86336994,5.18283543,25.39781384,Ordinary Kriging,175.20519656,-33.47789604,37.92481277,141.72730052,111.02004192,186.26382706,181.88369218,-40.15639166,80.01270702,High
3,,,124.43842568,6.38336022,21.17400284,9.90412489,23.37584407,Ordinary Kriging,232.37445364,102.38688958,78.22765883,334.76134322,101.70426888,276.98392566,269.08494049,65.67640273,64.86038719,Very High
4,,,123.89367022,10.25057509,-33.19851588,22.19076574,39.93208661,Ordinary Kriging,6.34306583,97.28075138,-104.4344108,103.62381721,113.90330032,176.96573508,165.71520892,-62.09139171,146.76371645,High
5,,,125.23490351,6.36576906,-12.43417418,5.95135385,13.785039,Ordinary Kriging,230.24742639,3.87128055,-67.33471261,234.11870694,131.70232866,249.1922776,248.76168213,-14.64297519,105.37404392,Very High
6,,,125.61752537,8.62599029,-33.08916479,17.77296514,37.56023318,Ordinary Kriging,26.38333899,106.89549551,-124.23693998,133.2788345,130.59620627,207.34599598,197.23562352,-63.95678902,143.97685283,Very High
7,,,123.29685018,8.34533181,-4.48829557,7.16738667,8.45672684,Ordinary Kriging,-64.2799472,14.47384816,36.16747509,-49.80609904,53.46612316,83.41208786,28.56307364,-78.36917268,21.28365621,High
8,,,123.7103419,10.43479802,-32.57055492,21.99641061,39.30245702,Ordinary Kriging,6.34306583,97.28075138,-104.4344108,103.62381721,113.90330032,176.96573508,165.71520892,-62.09139171,146.76371645,High
9,,,126.16260482,7.83581657,-30.58818672,12.28005135,32.96114118,Ordinary Kriging,25.32732501,-62.0001373,28.36787516,-36.67281229,52.06973938,78.07024464,33.73333323,-70.40614553,73.49431685,Moderate
10,,,122.93667318,10.44192999,-24.82486559,18.49385093,30.95636403,Ordinary Kriging,-63.18757928,70.19336441,-61.18414034,7.00578513,90.5047958,128.08894035,94.00768837,-87.00190324,158.7328279,High
11,,,125.98953902,7.18947368,-30.53263186,6.82059749,31.28517474,Ordinary Kriging,-14.25020663,-45.13673662,17.57128163,-59.38694325,23.39325484,53.45926728,-6.30021678,-53.08672646,65.65599564,Moderate
12,,,122.23943086,7.31596161,8.59945247,2.78389955,9.03884282,Ordinary Kriging,108.72263093,-27.11448313,29.27741896,81.6081478,73.9601085,119.45769207,114.76418241,-33.1560346,78.34037077,High
13,,,124.52619541,7.44118525,-17.61177941,3.1868195,17.89778178,Ordinary Kriging,-70.57175465,-34.05184098,55.58407195,-104.62359563,58.50653876,110.99134442,6.19474095,-110.81833658,35.90704998,High
14,,,125.74299292,8.3255322,-30.52700855,14.84924269,33.94699191,Ordinary Kriging,-17.08599247,-342.16194582,134.89850744,-359.24793828,211.22547472,392.1249073,31.60150558,-390.84944386,70.1544997,Very High
15,,,124.93525358,8.3948943,-20.53593949,11.27690045,23.42847188,Ordinary Kriging,122.50665267,-75.23765111,86.19622439,47.26900155,131.16970503,188.48915696,154.80420581,-107.53520425,69.45912618,High
16,,,126.29109905,7.39543505,-30.79367578,9.85412282,32.33193784,Ordinary Kriging,56.21238946,-39.90529231,-45.36637444,16.30709714,66.08903175,94.17261249,74.24258032,-57.93548318,111.67461108,High
17,,,122.74458013,7.5287489,4.9577621,3.84313251,6.27288391,Ordinary Kriging,346.00744241,-18.83392734,16.7793311,327.17351507,183.19075365,347.33119487,346.77751119,-19.60399611,87.37231762,Very High
18,,,122.8202813,9.95731346,-19.24624516,15.77052074,24.88226833,Ordinary Kriging,66.6696483,-120.7603248,108.76463166,-54.0906765,143.56964792,206.60926468,116.52430967,-170.61498617,65.37460457,Very High
19,,,125.10388239,8.02274364,-20.30020543,8.05194762,21.83877746,Ordinary Kriging,-108.9217655,-81.83886859,147.73499709,-190.76063408,148.35430628,249.42495894,52.97398924,-243.73462333,42.38144009,Very High
20,,,125.11874395,7.49290175,-22.40430599,4.45550779,22.84304,Ordinary Kriging,-68.45374844,66.27839232,-73.80557034,-2.17535612,99.92722177,141.32680351,98.83954371,-101.01489983,156.19414072,High
21,,,125.31718633,7.18924397,-25.92498767,3.93523617,26.22195777,Ordinary Kriging,-113.58064036,32.14060759,-21.86477508,-81.44003277,76.07061795,122.0234293,35.35060156,-116.79063433,171.64800154,High
22,,,123.3623316,8.09086315,-4.00200194,5.9831711,7.19821895,Ordinary Kriging,21.03082141,-28.03189876,-52.09432917,-7.00107735,57.58130564,81.58260268,54.08076696,-61.08184431,122.39206371,High
23,,,124.90775208,6.16813264,7.95442298,8.99952123,12.01100442,Ordinary Kriging,500.0,-41.87133572,-293.84538089,500.0,500.0,500.0,500.0,-96.53621588,100.53842462,Very High
24,,,122.64839376,9.91996723,-17.59709938,15.03265961,23.14387093,Ordinary Kriging,-243.95303786,-96.89135202,160.04855761,-340.84438988,176.13155781,346.60077952,5.70936287,-346.55375274,32.66230457,Very High
