site,location,latitude,longitude,Ve_mm,Vn_mm,V_horiz,epsilon_xx,epsilon_yy,epsilon_xy,dilatation,max_shear,second_inv,lambda1,lambda2,principal_az,strain_class,obs_duration_yr,data_source,interp_method
DVAO,Davao City,7.071865,125.61287,-30.51353,-1.608731,30.555908,161.160359,-18.824654,-25.328972,142.335705,93.48908,166.163,164.656932,-22.321228,97.8598,High,8.5859,ML_estimated,Ordinary Kriging
PBIS,Bislig City,8.189172,126.353881,-30.675902,20.573072,36.93592,-202.832176,-89.93332,148.678623,-292.765496,159.034182,305.678851,12.651433,-305.41693,34.604763,Very High,6.9842,ML_estimated,Ordinary Kriging
PCOT,Cotabato City,7.199604,124.247033,-18.727851,-10.899935,21.668894,-185.327333,1.13911,-43.701412,-184.188224,102.967213,195.364134,10.873102,-195.061325,167.443001,High,7.5154,ML_estimated,Ordinary Kriging
PDAV,Davao City,7.12649,125.643405,-33.937772,1.546864,33.973006,161.160359,-18.824654,-25.328972,142.335705,93.48908,166.163,164.656932,-22.321228,97.8598,High,6.6202,ML_estimated,Ordinary Kriging
PDDN,Tagum City,7.459377,125.78325,-28.942468,1.02855,28.960738,86.25629,-24.147209,38.778483,62.109081,67.461129,105.027505,98.515669,-36.406588,72.456238,High,1.9958,ML_estimated,Ordinary Kriging
PDIP,Dipolog City,8.586842,123.344293,-4.534124,6.392529,7.837264,-273.015029,-164.673428,221.025981,-437.688456,227.567484,446.496934,8.723256,-446.411712,38.114473,Very High,6.8912,ML_estimated,Ordinary Kriging
PGEN,Gen. Santos City,6.064912,125.131662,-11.247974,-7.754852,13.662161,145.217911,-68.838212,-260.534096,76.379699,281.661182,401.973845,319.851031,-243.471332,123.833509,Very High,11.7673,ML_estimated,Ordinary Kriging
PMAI,"Maitum, Sarangani",6.061264,124.495597,82.57636,267.785772,280.228612,500.0,-116.300558,-500.0,500.0,500.0,500.0,500.0,-336.340078,105.625179,Very High,0.0165,LR_fallback,Ordinary Kriging
PMRM,"Maramag, Bukidnon",7.856279,125.058743,-17.010083,0.685163,17.023877,-15.173343,-44.832592,92.494012,-60.005935,93.675291,139.105989,63.672323,-123.678258,49.554374,High,3.9863,LR_fallback,Ordinary Kriging
PSUR,Surigao City,9.791809,125.493698,-65.772145,95.055829,115.592326,301.706396,108.384974,-195.614828,410.09137,218.193616,423.443472,423.239301,-13.147931,121.852137,Very High,5.3661,ML_estimated,Ordinary Kriging
PTCG,Tacurong City,6.693486,124.676244,-12.843473,-7.989375,15.125637,187.244806,89.896269,122.961248,277.141075,132.244671,270.88908,270.815209,6.325867,55.79808,Very High,1.013,LR_fallback,Ordinary Kriging
PTGO,"Tagoloan, Misamis Oriental",8.525923,124.75503,-16.806517,7.329485,18.335222,-0.644836,-90.995576,95.070786,-91.640413,105.258104,162.349991,59.437898,-151.07831,57.707976,High,7.6195,ML_estimated,Ordinary Kriging
PZAM,Zamboanga City,6.92865,122.065042,11.777832,-6.731004,13.565535,67.391137,1.969675,-50.218596,69.360812,59.932456,97.924765,94.612862,-25.25205,118.460555,High,7.562,ML_estimated,Ordinary Kriging
