site,location,latitude,longitude,Ve_mm,Vn_mm,V_horiz,azimuth_deg,sig_e_mm,sig_n_mm,Ve_est,Vn_est,start_year,end_year,obs_duration_yr,data_source
DVAO,Davao City,7.071865,125.61287,-30.51353,-1.608731,30.555908,266.982052,0.905883,0.776526,-0.030514,-0.001609,2016.1232,2024.7091,8.5859,ML_estimated
PBIS,Bislig City,8.189172,126.353881,-30.675902,20.573072,36.93592,303.84814,0.879974,0.771184,-0.030676,0.020573,2017.7194,2024.7036,6.9842,ML_estimated
PCOT,Cotabato City,7.199604,124.247033,-18.727851,-10.899935,21.668894,239.799851,1.046837,0.888207,-0.018728,-0.0109,2017.1882,2024.7036,7.5154,ML_estimated
PDAV,Davao City,7.12649,125.643405,-33.937772,1.546864,33.973006,272.609703,0.917375,0.798504,-0.033938,0.001547,2015.091,2021.7112,6.6202,ML_estimated
PDDN,Tagum City,7.459377,125.78325,-28.942468,1.02855,28.960738,272.035307,0.956438,0.837813,-0.028942,0.001029,2021.7112,2023.707,1.9958,ML_estimated
PDIP,Dipolog City,8.586842,123.344293,-4.534124,6.392529,7.837264,324.652497,0.827679,0.730036,-0.004534,0.006393,2015.8193,2022.7105,6.8912,ML_estimated
PGEN,Gen. Santos City,6.064912,125.131662,-11.247974,-7.754852,13.662161,235.4159,0.938271,0.816803,-0.011248,-0.007755,2014.3573,2026.1246,11.7673,ML_estimated
PMAI,"Maitum, Sarangani",6.061264,124.495597,82.57636,267.785772,280.228612,17.138049,0.652049,0.912611,0.082576,0.267786,2022.694,2022.7105,0.0165,LR_fallback
PMRM,"Maramag, Bukidnon",7.856279,125.058743,-17.010083,0.685163,17.023877,272.306618,0.217206,0.868657,-0.01701,0.000685,2019.7207,2023.707,3.9863,LR_fallback
PSUR,Surigao City,9.791809,125.493698,-65.772145,95.055829,115.592326,325.31941,0.883859,0.7729,-0.065772,0.095056,2014.3546,2019.7207,5.3661,ML_estimated
PTCG,Tacurong City,6.693486,124.676244,-12.843473,-7.989375,15.125637,238.116023,0.366652,0.23795,-0.012843,-0.007989,2022.694,2023.707,1.013,LR_fallback
PTGO,"Tagoloan, Misamis Oriental",8.525923,124.75503,-16.806517,7.329485,18.335222,293.562483,0.860966,0.747698,-0.016807,0.007329,2015.091,2022.7105,7.6195,ML_estimated
PZAM,Zamboanga City,6.92865,122.065042,11.777832,-6.731004,13.565535,119.747867,1.221848,1.044598,0.011778,-0.006731,2015.1485,2022.7105,7.562,ML_estimated
